,Unnamed: 0,Unnamed: 0.1,index,name,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag
27,27,27,32,RS Cas,0.799056,10.705,0.8468532136884938,11.423,9.944,8.217,6.884,6.227,6.03
28,28,28,33,RR Lac,0.807281,11.463,0.2603688759905406,9.753,8.842,7.816,7.058,6.619,6.527
29,29,29,34,XX Sgr,0.807815,10.648,0.5244139279871054,9.967,8.856,7.469,6.496,5.961,5.824
30,30,30,35,BB Sgr,0.821971,9.484,0.2857452571103568,7.924,6.94,5.822,5.099,4.639,4.51
31,31,31,36,VC ar,0.82586,10.311,0.1732785540842146,8.235,7.368,6.421,5.806,5.387,5.284
32,32,32,38,US gr,0.828997,8.898,0.4006488755626984,7.786,6.69,5.426,4.587,4.093,3.954
33,33,33,39,TW CMa,0.844792,12.087,0.3246207551168778,10.534,9.564,8.419,7.66,7.175,7.069
34,34,34,42,V0 459Cyg,0.860413,11.806,0.7344033445351018,12.035,10.601,8.837,7.715,7.073,6.903
35,35,35,46,RS Ori,0.878917,11.048,0.3019597114901161,9.376,8.414,7.253,6.489,6.018,5.917
36,36,36,47,BK Aur,0.903222,11.947,0.3739754022345579,10.524,9.457,8.249,7.387,6.885,6.772
37,37,37,48,GH Lup,0.967448,10.161,0.4185106706031885,8.844,7.637,6.364,5.492,4.96,4.813
38,38,38,49,FN Aql,0.976878,10.708,0.4736472593835171,9.593,8.389,6.947,6.05,5.495,5.356
39,39,39,50,YZ Sgr,0.980171,10.343,0.273256098239747,8.372,7.351,6.214,5.472,5.003,4.903
40,40,40,51,SN or,0.989194,9.672,0.1938103630065576,7.375,6.429,5.427,4.729,4.275,4.162
41,41,41,52,DD Cas,0.991759,12.358,0.4429178674324442,11.076,9.879,8.507,7.627,7.068,6.948
42,42,42,53,BZ Cyg,1.006127,11.18,0.93661163010685,11.837,10.221,8.324,6.886,6.155,5.924
43,43,43,55,YS ct,1.014575,11.02,0.808562758655427,11.194,9.632,7.841,6.578,5.896,5.691
44,44,44,57,ZL ac,1.036854,11.289,0.3337976624778878,9.514,8.414,7.148,6.346,5.827,5.693
45,45,45,58,XX Cen,1.039548,11.039,0.2423147222478544,8.803,7.819,6.736,5.991,5.53,5.407
46,46,46,59,TY Sct,1.043507,11.779,0.95966066678039,12.507,10.818,8.825,7.355,6.638,6.429
47,47,47,60,V3 40Nor,1.052579,11.214,0.3739720582633863,9.526,8.371,7.168,6.272,5.732,5.586
48,48,48,61,AA Gem,1.053181,12.736,0.3429073416165132,10.809,9.729,8.581,7.734,7.2,7.106
49,49,49,62,RX Aur,1.065337,10.984,0.228714963418263,8.631,7.669,6.59,5.819,5.355,5.269
50,50,50,63,UU Mus,1.065819,12.48,0.4142723339266998,10.936,9.794,8.486,7.528,6.989,6.828
51,51,51,64,RY Cas,1.084181,11.982,0.6471899801783706,11.321,9.95,8.403,7.175,6.551,6.373
52,52,52,65,UN or,1.101875,10.568,0.8647678423767406,10.841,9.247,7.352,5.931,5.237,4.991
53,53,53,66,ZS ct,1.110645,12.059,0.5171470292135593,10.927,9.592,8.055,7.055,6.478,6.323
54,54,54,68,BN Pup,1.135867,12.78,0.4067555250544812,11.069,9.882,8.552,7.626,7.076,6.921
55,55,55,69,TT Aql,1.138459,9.9,0.4468026616877025,8.436,7.138,5.678,4.772,4.204,4.051
56,56,56,70,LS Pup,1.150646,13.236,0.4569879271651102,11.685,10.448,9.074,8.094,7.518,7.353
57,57,57,71,TX Cyg,1.167607,10.016,1.1744171760115258,11.363,9.489,7.228,5.462,4.637,4.372
58,58,58,72,UZ Sct,1.168739,12.213,1.0705279698384105,13.124,11.247,9.184,7.534,6.746,6.534
59,59,59,73,RW Cas,1.170032,12.186,0.4239923021611239,10.462,9.233,7.871,6.934,6.367,6.237
60,60,60,75,SZ Cyg,1.179252,11.662,0.6565209483796164,10.91,9.432,7.755,6.635,5.961,5.775
61,61,61,76,SV Mon,1.182801,11.784,0.255334665728095,9.31,8.256,7.133,6.345,5.826,5.726
62,62,62,77,XC yg,1.214482,9.997,0.2435539961773948,7.533,6.377,5.223,4.471,3.964,3.838
63,63,63,78,CD Cyg,1.232334,11.843,0.4630157114056695,10.217,8.948,7.448,6.463,5.89,5.72
64,64,64,80,SZ Aql,1.234029,11.248,0.5582992650705587,10.033,8.634,7.018,5.955,5.347,5.16
65,65,65,84,VY Car,1.276818,11.135,0.2760205986958892,8.642,7.463,6.28,5.463,4.945,4.806
66,66,66,86,VX Cyg,1.303917,12.083,0.8280023197014817,11.769,10.062,8.161,6.816,6.083,5.905
67,67,67,87,RY Sco,1.307927,10.418,0.6568398380993311,9.462,8.018,6.255,4.999,4.365,4.143
68,68,68,88,RZ Vel,1.309564,10.725,0.3008751189544473,8.216,7.09,5.867,4.979,4.46,4.308
69,69,69,90,WZ Car,1.361977,12.84,0.3583600909016312,10.427,9.266,7.963,7.009,6.456,6.29
70,70,70,92,SW Vel,1.370016,11.816,0.3280020550032781,9.281,8.128,6.844,5.931,5.39,5.231
71,71,71,93,XP up,1.414321,12.132,0.3731350324868531,9.702,8.507,7.107,6.18,5.6,5.431
72,72,72,94,RY Vel,1.449158,11.692,0.4800963015798955,9.744,8.371,6.834,5.7,5.123,4.928
73,73,73,96,AQ Pup,1.478624,12.144,0.4822744876384361,10.081,8.705,7.14,6.102,5.483,5.299
74,74,74,98,UC ar,1.58897,10.812,0.2115549733458152,7.469,6.292,5.057,4.193,3.67,3.522
75,75,75,99,RS Pup,1.61742,10.927,0.4336559982705121,8.442,7.01,5.489,4.44,3.827,3.647
